a,b,c,n,l,m,quality,m is not a proper divisor of b
1,32481050624,32481050625,180225,2,4096,1.1156,False
1,32851200000,32851200001,181249,2,3200000,1.0550,False
1,34328124999,34328125000,3250,3,9747,1.0114,False
1,34506777599,34506777600,185760,2,9102289,1.0363,False
1,34828517375,34828517376,432,4,125,1.0625,False
1,34828890624,34828890625,186625,2,46656,1.0957,False
1,35374462560,35374462561,188081,2,69984,1.0068,False
1,35721378000,35721378001,189001,2,71874000,1.0059,False
1,36883586600,36883586601,192051,2,1371800,1.0006,False
1,37060485120,37060485121,192511,2,110592,1.0316,False
1,37790971200,37790971201,194399,2,266133600,1.0385,False
1,38477541375,38477541376,3376,3,10125,1.0196,False
1,38513670000,38513670001,443,4,5000,1.0346,False
1,38742442560,38742442561,196831,2,1259712,1.0027,False
1,39565983743,39565983744,198912,2,1159171,1.0474,False
1,40400598000,40400598001,200999,2,686000,1.0144,False
1,40642559999,40642560000,201600,2,201601,1.0321,False
1,40642963200,40642963201,449,4,6400,1.0632,False
1,40992251391,40992251392,3448,3,21609,1.0551,False
1,41006655000,41006655001,202501,2,269780625,1.0692,False
1,41367898880,41367898881,203391,2,256,1.2004,False
1,41371559999,41371560000,203400,2,69766543,1.0831,False
1,42014750624,42014750625,204975,2,468512,1.0185,False
1,43087380624,43087380625,207575,2,415152,1.0009,False
1,43117276608,43117276609,207647,2,59802048,1.0009,False
1,43420557375,43420557376,208376,2,190125,1.0054,False
1,43838309375,43838309376,209376,2,153125,1.0001,False
1,44079422400,44079422401,209951,2,10497600,1.0213,False
1,44626140000,44626140001,211249,2,91260000,1.0515,False
1,45365166080,45365166081,212991,2,11829248,1.0157,False
1,45366018048,45366018049,212993,2,32768,1.0590,False
1,46352798208,46352798209,215297,2,52316928,1.0436,False
1,46525874175,46525874176,136,5,675,1.0115,False
1,46877879168,46877879169,216513,2,128,1.0277,False
1,47852000000,47852000001,218751,2,4000000,1.0252,False
1,48180689000,48180689001,219501,2,1000,1.0057,False
1,48469985280,48469985281,220159,2,1492992,1.0050,False
